symbol,timestamp,open,high,low,close,volume
ETH,2024-10-29 00:00:00,2567.46,2676.82,2556.44,2635.89,457.5175
ETH,2024-10-30 00:00:00,2634.84,2720.9,2603.99,2659,438.3486
ETH,2024-10-31 00:00:00,2659,2668.13,2504.26,2517.13,288.6095
ETH,2024-11-01 00:00:00,2517.1,2583.2,2470.03,2512.8,246.6476
ETH,2024-11-02 00:00:00,2515.78,2521.6,2471.66,2491.03,88.2374
ETH,2024-11-03 00:00:00,2491.03,2494.42,2410.62,2454.71,208.8894
ETH,2024-11-04 00:00:00,2455.13,2484.37,2361.02,2399.66,196.2055
ETH,2024-11-05 00:00:00,2399.63,2477.78,2384.32,2423.27,218.2591
ETH,2024-11-06 00:00:00,2421.24,2741.6,2419.24,2719.14,616.0018
ETH,2024-11-07 00:00:00,2722.73,2913.77,2698.4,2894.53,533.3899
ETH,2024-11-08 00:00:00,2895.84,2978.59,2886.28,2956.46,373.6749
ETH,2024-11-09 00:00:00,2962.49,3154.99,2955.3,3130.43,465.996
ETH,2024-11-10 00:00:00,3125.45,3245.3,3071.74,3190.46,806.8012
ETH,2024-11-11 00:00:00,3186.86,3386.71,3106.7,3373.83,769.2557
ETH,2024-11-12 00:00:00,3373.58,3438.68,3210.16,3249.46,987.924
ETH,2024-11-13 00:00:00,3240.68,3330.49,3118.86,3179.48,743.3845
ETH,2024-11-14 00:00:00,3186.25,3239.39,3031.95,3055.88,753.3466
ETH,2024-11-15 00:00:00,3055.63,3117.37,2941.53,3091.63,685.7729
ETH,2024-11-16 00:00:00,3092.08,3219.16,3073.03,3133.61,432.6583
ETH,2024-11-17 00:00:00,3131.59,3158.23,3036.65,3073.01,373.7207
ETH,2024-11-18 00:00:00,3074.9,3215.86,3050.44,3204.11,485.7241
ETH,2024-11-19 00:00:00,3204.11,3219.17,3068.17,3105.68,518.2674
ETH,2024-11-20 00:00:00,3104,3156.17,3031.8,3066.91,434.2682
ETH,2024-11-21 00:00:00,3068.05,3381.54,3034,3355.54,998.1062
ETH,2024-11-22 00:00:00,3357.08,3423.01,3262.68,3323.63,457.0415
ETH,2024-11-23 00:00:00,3328.21,3494.73,3315.69,3394.12,728.0222
ETH,2024-11-24 00:00:00,3392.13,3447.59,3288.22,3367.72,525.2121
ETH,2024-11-25 00:00:00,3358.81,3539.57,3305.08,3418.5,1003.2548
ETH,2024-11-26 00:00:00,3417.56,3461.09,3250.71,3322.88,467.3911
ETH,2024-11-27 00:00:00,3322.88,3682.89,3303.75,3654.31,738.7901
ETH,2024-11-28 00:00:00,3658.47,3659,3532.01,3579.99,354.1338
ETH,2024-11-29 00:00:00,3575.63,3642.68,3538.82,3598.53,299.7246
ETH,2024-11-30 00:00:00,3590.98,3735.23,3570.85,3704.22,441.7694
ETH,2024-12-01 00:00:00,3713.75,3743.99,3661.46,3705.48,273.6878
ETH,2024-12-02 00:00:00,3709.09,3761.02,3559.74,3640.81,726.2083
ETH,2024-12-03 00:00:00,3634.7,3665.14,3505.5,3615.37,449.4664
ETH,2024-12-04 00:00:00,3612.94,3884.93,3612.94,3839.51,835.4075
ETH,2024-12-05 00:00:00,3835.28,3950,3700,3789.94,821.2089
ETH,2024-12-06 00:00:00,3789.94,4082.57,3782.44,3992.36,782.569
